AGE,COUNT,EVENT_TYPE,POPULATION,RACE,RATE,SEX,SITE,YEAR
30-34,73.0,Incidence,10131068,All Races,0.7,Female,Urinary Bladder,1999
35-39,3297.0,Mortality,11474154,All Races,28.7,Female,All Cancer Sites Combined,1999
35-39,18567.0,Incidence,11335710,All Races,163.8,Female,All Cancer Sites Combined,1999
35-39,175.0,Mortality,11474154,All Races,1.5,Female,Brain and Other Nervous System,1999
35-39,388.0,Incidence,11335710,All Races,3.4,Female,Brain and Other Nervous System,1999
35-39,292.0,Mortality,11474154,All Races,2.5,Female,Cervix,1999
35-39,1735.0,Incidence,11335710,All Races,15.3,Female,Cervix,1999
35-39,204.0,Mortality,11474154,All Races,1.8,Female,Colon and Rectum,1999
35-39,813.0,Incidence,11335710,All Races,7.2,Female,Colon and Rectum,1999
35-39,38.0,Mortality,11474154,All Races,0.3,Female,"Corpus and Uterus, NOS",1999
35-39,760.0,Incidence,11335710,All Races,6.7,Female,"Corpus and Uterus, NOS",1999
35-39,16.0,Incidence,11335710,All Races,0.1,Female,Esophagus,1999
35-39,980.0,Mortality,11474154,All Races,8.5,Female,Female Breast,1999
35-39,7064.0,Incidence,11335710,All Races,62.3,Female,Female Breast,1999
35-39,1183.0,Incidence,11335710,All Races,10.4,Female,"Female Breast, <i>in situ</i>",1999
35-39,34.0,Mortality,11474154,All Races,0.3,Female,Hodgkin Lymphoma,1999
35-39,326.0,Incidence,11335710,All Races,2.9,Female,Hodgkin Lymphoma,1999
35-39,17.0,Incidence,11335710,All Races,0.1,Female,Kaposi Sarcoma,1999
35-39,35.0,Mortality,11474154,All Races,0.3,Female,Kidney and Renal Pelvis,1999
35-39,273.0,Incidence,11335710,All Races,2.4,Female,Kidney and Renal Pelvis,1999
35-39,40.0,Incidence,11335710,All Races,0.4,Female,Larynx,1999
35-39,170.0,Mortality,11474154,All Races,1.5,Female,Leukemias,1999
35-39,355.0,Incidence,11335710,All Races,3.1,Female,Leukemias,1999
35-39,39.0,Mortality,11474154,All Races,0.3,Female,Liver and Intrahepatic Bile Duct,1999
35-39,45.0,Incidence,11335710,All Races,0.4,Female,Liver and Intrahepatic Bile Duct,1999
35-39,345.0,Mortality,11474154,All Races,3.0,Female,Lung and Bronchus,1999
35-39,591.0,Incidence,11335710,All Races,5.2,Female,Lung and Bronchus,1999
35-39,88.0,Mortality,11474154,All Races,0.8,Female,Melanomas of the Skin,1999
35-39,1498.0,Incidence,11335710,All Races,13.2,Female,Melanomas of the Skin,1999
35-39,57.0,Incidence,11335710,All Races,0.5,Female,Myeloma,1999
35-39,120.0,Mortality,11474154,All Races,1.0,Female,Non-Hodgkin Lymphoma,1999
35-39,666.0,Incidence,11335710,All Races,5.9,Female,Non-Hodgkin Lymphoma,1999
35-39,38.0,Mortality,11474154,All Races,0.3,Female,Oral Cavity and Pharynx,1999
35-39,246.0,Incidence,11335710,All Races,2.2,Female,Oral Cavity and Pharynx,1999
35-39,162.0,Mortality,11474154,All Races,1.4,Female,Ovary,1999
35-39,586.0,Incidence,11335710,All Races,5.2,Female,Ovary,1999
35-39,71.0,Mortality,11474154,All Races,0.6,Female,Pancreas,1999
35-39,97.0,Incidence,11335710,All Races,0.9,Female,Pancreas,1999
35-39,88.0,Mortality,11474154,All Races,0.8,Female,Stomach,1999
35-39,134.0,Incidence,11335710,All Races,1.2,Female,Stomach,1999
35-39,1661.0,Incidence,11335710,All Races,14.7,Female,Thyroid,1999
35-39,147.0,Incidence,11335710,All Races,1.3,Female,Urinary Bladder,1999
40-44,5964.0,Mortality,11195450,All Races,53.3,Female,All Cancer Sites Combined,1999
40-44,29982.0,Incidence,11057798,All Races,271.1,Female,All Cancer Sites Combined,1999
40-44,252.0,Mortality,11195450,All Races,2.3,Female,Brain and Other Nervous System,1999
40-44,459.0,Incidence,11057798,All Races,4.2,Female,Brain and Other Nervous System,1999
40-44,407.0,Mortality,11195450,All Races,3.6,Female,Cervix,1999
40-44,1879.0,Incidence,11057798,All Races,17.0,Female,Cervix,1999
40-44,434.0,Mortality,11195450,All Races,3.9,Female,Colon and Rectum,1999
40-44,1543.0,Incidence,11057798,All Races,14.0,Female,Colon and Rectum,1999
40-44,104.0,Mortality,11195450,All Races,0.9,Female,"Corpus and Uterus, NOS",1999
40-44,1345.0,Incidence,11057798,All Races,12.2,Female,"Corpus and Uterus, NOS",1999
40-44,28.0,Mortality,11195450,All Races,0.3,Female,Esophagus,1999
40-44,33.0,Incidence,11057798,All Races,0.3,Female,Esophagus,1999
40-44,1746.0,Mortality,11195450,All Races,15.6,Female,Female Breast,1999
40-44,13401.0,Incidence,11057798,All Races,121.2,Female,Female Breast,1999
40-44,3444.0,Incidence,11057798,All Races,31.1,Female,"Female Breast, <i>in situ</i>",1999
40-44,28.0,Mortality,11195450,All Races,0.3,Female,Hodgkin Lymphoma,1999
40-44,219.0,Incidence,11057798,All Races,2.0,Female,Hodgkin Lymphoma,1999
40-44,71.0,Mortality,11195450,All Races,0.6,Female,Kidney and Renal Pelvis,1999
40-44,501.0,Incidence,11057798,All Races,4.5,Female,Kidney and Renal Pelvis,1999
40-44,97.0,Incidence,11057798,All Races,0.9,Female,Larynx,1999
40-44,195.0,Mortality,11195450,All Races,1.7,Female,Leukemias,1999
40-44,496.0,Incidence,11057798,All Races,4.5,Female,Leukemias,1999
40-44,87.0,Mortality,11195450,All Races,0.8,Female,Liver and Intrahepatic Bile Duct,1999
40-44,110.0,Incidence,11057798,All Races,1.0,Female,Liver and Intrahepatic Bile Duct,1999
40-44,904.0,Mortality,11195450,All Races,8.1,Female,Lung and Bronchus,1999
40-44,1545.0,Incidence,11057798,All Races,14.0,Female,Lung and Bronchus,1999
40-44,140.0,Mortality,11195450,All Races,1.3,Female,Melanomas of the Skin,1999
40-44,1662.0,Incidence,11057798,All Races,15.0,Female,Melanomas of the Skin,1999
40-44,23.0,Incidence,11057798,All Races,0.2,Female,Mesothelioma,1999
40-44,46.0,Mortality,11195450,All Races,0.4,Female,Myeloma,1999
40-44,133.0,Incidence,11057798,All Races,1.2,Female,Myeloma,1999
40-44,159.0,Mortality,11195450,All Races,1.4,Female,Non-Hodgkin Lymphoma,1999
40-44,877.0,Incidence,11057798,All Races,7.9,Female,Non-Hodgkin Lymphoma,1999
40-44,49.0,Mortality,11195450,All Races,0.4,Female,Oral Cavity and Pharynx,1999
40-44,425.0,Incidence,11057798,All Races,3.8,Female,Oral Cavity and Pharynx,1999
40-44,334.0,Mortality,11195450,All Races,3.0,Female,Ovary,1999
40-44,1129.0,Incidence,11057798,All Races,10.2,Female,Ovary,1999
40-44,154.0,Mortality,11195450,All Races,1.4,Female,Pancreas,1999
40-44,226.0,Incidence,11057798,All Races,2.0,Female,Pancreas,1999
40-44,134.0,Mortality,11195450,All Races,1.2,Female,Stomach,1999
40-44,248.0,Incidence,11057798,All Races,2.2,Female,Stomach,1999
40-44,1764.0,Incidence,11057798,All Races,16.0,Female,Thyroid,1999
40-44,25.0,Mortality,11195450,All Races,0.2,Female,Urinary Bladder,1999
40-44,238.0,Incidence,11057798,All Races,2.2,Female,Urinary Bladder,1999
45-49,9261.0,Mortality,9987734,All Races,92.7,Female,All Cancer Sites Combined,1999
45-49,40541.0,Incidence,9864954,All Races,411.0,Female,All Cancer Sites Combined,1999
45-49,335.0,Mortality,9987734,All Races,3.4,Female,Brain and Other Nervous System,1999
45-49,538.0,Incidence,9864954,All Races,5.5,Female,Brain and Other Nervous System,1999
45-49,462.0,Mortality,9987734,All Races,4.6,Female,Cervix,1999
45-49,1623.0,Incidence,9864954,All Races,16.5,Female,Cervix,1999
45-49,734.0,Mortality,9987734,All Races,7.3,Female,Colon and Rectum,1999
45-49,2601.0,Incidence,9864954,All Races,26.4,Female,Colon and Rectum,1999
45-49,182.0,Mortality,9987734,All Races,1.8,Female,"Corpus and Uterus, NOS",1999
45-49,2214.0,Incidence,9864954,All Races,22.4,Female,"Corpus and Uterus, NOS",1999
45-49,59.0,Mortality,9987734,All Races,0.6,Female,Esophagus,1999
45-49,86.0,Incidence,9864954,All Races,0.9,Female,Esophagus,1999
45-49,2608.0,Mortality,9987734,All Races,26.1,Female,Female Breast,1999
45-49,18860.0,Incidence,9864954,All Races,191.2,Female,Female Breast,1999
45-49,5150.0,Incidence,9864954,All Races,52.2,Female,"Female Breast, <i>in situ</i>",1999
45-49,34.0,Mortality,9987734,All Races,0.3,Female,Hodgkin Lymphoma,1999
45-49,184.0,Incidence,9864954,All Races,1.9,Female,Hodgkin Lymphoma,1999
45-49,117.0,Mortality,9987734,All Races,1.2,Female,Kidney and Renal Pelvis,1999
45-49,715.0,Incidence,9864954,All Races,7.2,Female,Kidney and Renal Pelvis,1999
45-49,21.0,Mortality,9987734,All Races,0.2,Female,Larynx,1999
45-49,140.0,Incidence,9864954,All Races,1.4,Female,Larynx,1999
45-49,281.0,Mortality,9987734,All Races,2.8,Female,Leukemias,1999
45-49,626.0,Incidence,9864954,All Races,6.3,Female,Leukemias,1999
45-49,133.0,Mortality,9987734,All Races,1.3,Female,Liver and Intrahepatic Bile Duct,1999
45-49,189.0,Incidence,9864954,All Races,1.9,Female,Liver and Intrahepatic Bile Duct,1999
45-49,1570.0,Mortality,9987734,All Races,15.7,Female,Lung and Bronchus,1999
45-49,2600.0,Incidence,9864954,All Races,26.4,Female,Lung and Bronchus,1999
45-49,181.0,Mortality,9987734,All Races,1.8,Female,Melanomas of the Skin,1999
45-49,1703.0,Incidence,9864954,All Races,17.3,Female,Melanomas of the Skin,1999
45-49,21.0,Incidence,9864954,All Races,0.2,Female,Mesothelioma,1999
45-49,105.0,Mortality,9987734,All Races,1.1,Female,Myeloma,1999
45-49,298.0,Incidence,9864954,All Races,3.0,Female,Myeloma,1999
45-49,237.0,Mortality,9987734,All Races,2.4,Female,Non-Hodgkin Lymphoma,1999
45-49,1196.0,Incidence,9864954,All Races,12.1,Female,Non-Hodgkin Lymphoma,1999
45-49,103.0,Mortality,9987734,All Races,1.0,Female,Oral Cavity and Pharynx,1999
45-49,545.0,Incidence,9864954,All Races,5.5,Female,Oral Cavity and Pharynx,1999
45-49,616.0,Mortality,9987734,All Races,6.2,Female,Ovary,1999
45-49,1674.0,Incidence,9864954,All Races,17.0,Female,Ovary,1999
45-49,312.0,Mortality,9987734,All Races,3.1,Female,Pancreas,1999
45-49,383.0,Incidence,9864954,All Races,3.9,Female,Pancreas,1999
45-49,147.0,Mortality,9987734,All Races,1.5,Female,Stomach,1999
45-49,256.0,Incidence,9864954,All Races,2.6,Female,Stomach,1999
45-49,18.0,Mortality,9987734,All Races,0.2,Female,Thyroid,1999
45-49,1555.0,Incidence,9864954,All Races,15.8,Female,Thyroid,1999
45-49,33.0,Mortality,9987734,All Races,0.3,Female,Urinary Bladder,1999
45-49,392.0,Incidence,9864954,All Races,4.0,Female,Urinary Bladder,1999
5-9,230.0,Mortality,10052618,All Races,2.3,Female,All Cancer Sites Combined,1999
5-9,980.0,Incidence,9919394,All Races,9.9,Female,All Cancer Sites Combined,1999
5-9,88.0,Mortality,10052618,All Races,0.9,Female,Brain and Other Nervous System,1999
5-9,327.0,Incidence,9919394,All Races,3.3,Female,Brain and Other Nervous System,1999
5-9,18.0,Incidence,9919394,All Races,0.2,Female,Hodgkin Lymphoma,1999
5-9,62.0,Incidence,9919394,All Races,0.6,Female,Kidney and Renal Pelvis,1999
5-9,55.0,Mortality,10052618,All Races,0.5,Female,Leukemias,1999
5-9,306.0,Incidence,9919394,All Races,3.1,Female,Leukemias,1999
5-9,51.0,Incidence,9919394,All Races,0.5,Female,Non-Hodgkin Lymphoma,1999
5-9,17.0,Incidence,9919394,All Races,0.2,Female,Ovary,1999
5-9,16.0,Incidence,9919394,All Races,0.2,Female,Thyroid,1999
50-54,13786.0,Mortality,8644571,All Races,159.5,Female,All Cancer Sites Combined,1999
50-54,51103.0,Incidence,8540542,All Races,598.4,Female,All Cancer Sites Combined,1999
50-54,425.0,Mortality,8644571,All Races,4.9,Female,Brain and Other Nervous System,1999
50-54,564.0,Incidence,8540542,All Races,6.6,Female,Brain and Other Nervous System,1999
50-54,452.0,Mortality,8644571,All Races,5.2,Female,Cervix,1999
50-54,1326.0,Incidence,8540542,All Races,15.5,Female,Cervix,1999
50-54,1042.0,Mortality,8644571,All Races,12.1,Female,Colon and Rectum,1999
50-54,3848.0,Incidence,8540542,All Races,45.1,Female,Colon and Rectum,1999
50-54,286.0,Mortality,8644571,All Races,3.3,Female,"Corpus and Uterus, NOS",1999
50-54,3894.0,Incidence,8540542,All Races,45.6,Female,"Corpus and Uterus, NOS",1999
50-54,109.0,Mortality,8644571,All Races,1.3,Female,Esophagus,1999
50-54,150.0,Incidence,8540542,All Races,1.8,Female,Esophagus,1999
50-54,3525.0,Mortality,8644571,All Races,40.8,Female,Female Breast,1999
50-54,22204.0,Incidence,8540542,All Races,260.0,Female,Female Breast,1999
50-54,5733.0,Incidence,8540542,All Races,67.1,Female,"Female Breast, <i>in situ</i>",1999
50-54,33.0,Mortality,8644571,All Races,0.4,Female,Hodgkin Lymphoma,1999
50-54,171.0,Incidence,8540542,All Races,2.0,Female,Hodgkin Lymphoma,1999
50-54,214.0,Mortality,8644571,All Races,2.5,Female,Kidney and Renal Pelvis,1999
50-54,926.0,Incidence,8540542,All Races,10.8,Female,Kidney and Renal Pelvis,1999
50-54,38.0,Mortality,8644571,All Races,0.4,Female,Larynx,1999
50-54,258.0,Incidence,8540542,All Races,3.0,Female,Larynx,1999
50-54,313.0,Mortality,8644571,All Races,3.6,Female,Leukemias,1999
50-54,752.0,Incidence,8540542,All Races,8.8,Female,Leukemias,1999
50-54,198.0,Mortality,8644571,All Races,2.3,Female,Liver and Intrahepatic Bile Duct,1999
50-54,232.0,Incidence,8540542,All Races,2.7,Female,Liver and Intrahepatic Bile Duct,1999
50-54,3011.0,Mortality,8644571,All Races,34.8,Female,Lung and Bronchus,1999
50-54,4618.0,Incidence,8540542,All Races,54.1,Female,Lung and Bronchus,1999
50-54,222.0,Mortality,8644571,All Races,2.6,Female,Melanomas of the Skin,1999
50-54,1660.0,Incidence,8540542,All Races,19.4,Female,Melanomas of the Skin,1999
50-54,22.0,Mortality,8644571,All Races,0.3,Female,Mesothelioma,1999
50-54,37.0,Incidence,8540542,All Races,0.4,Female,Mesothelioma,1999
50-54,174.0,Mortality,8644571,All Races,2.0,Female,Myeloma,1999
50-54,426.0,Incidence,8540542,All Races,5.0,Female,Myeloma,1999
50-54,393.0,Mortality,8644571,All Races,4.5,Female,Non-Hodgkin Lymphoma,1999
50-54,1545.0,Incidence,8540542,All Races,18.1,Female,Non-Hodgkin Lymphoma,1999
50-54,138.0,Mortality,8644571,All Races,1.6,Female,Oral Cavity and Pharynx,1999
50-54,759.0,Incidence,8540542,All Races,8.9,Female,Oral Cavity and Pharynx,1999
50-54,933.0,Mortality,8644571,All Races,10.8,Female,Ovary,1999
50-54,2059.0,Incidence,8540542,All Races,24.1,Female,Ovary,1999
50-54,559.0,Mortality,8644571,All Races,6.5,Female,Pancreas,1999
50-54,664.0,Incidence,8540542,All Races,7.8,Female,Pancreas,1999
50-54,208.0,Mortality,8644571,All Races,2.4,Female,Stomach,1999
50-54,370.0,Incidence,8540542,All Races,4.3,Female,Stomach,1999
50-54,24.0,Mortality,8644571,All Races,0.3,Female,Thyroid,1999
50-54,1346.0,Incidence,8540542,All Races,15.8,Female,Thyroid,1999
50-54,80.0,Mortality,8644571,All Races,0.9,Female,Urinary Bladder,1999
50-54,699.0,Incidence,8540542,All Races,8.2,Female,Urinary Bladder,1999
55-59,17746.0,Mortality,6765034,All Races,262.3,Female,All Cancer Sites Combined,1999
55-59,55834.0,Incidence,6680872,All Races,835.7,Female,All Cancer Sites Combined,1999
55-59,536.0,Mortality,6765034,All Races,7.9,Female,Brain and Other Nervous System,1999
55-59,637.0,Incidence,6680872,All Races,9.5,Female,Brain and Other Nervous System,1999
55-59,393.0,Mortality,6765034,All Races,5.8,Female,Cervix,1999
55-59,1144.0,Incidence,6680872,All Races,17.1,Female,Cervix,1999
55-59,1361.0,Mortality,6765034,All Races,20.1,Female,Colon and Rectum,1999
55-59,4689.0,Incidence,6680872,All Races,70.2,Female,Colon and Rectum,1999
55-59,427.0,Mortality,6765034,All Races,6.3,Female,"Corpus and Uterus, NOS",1999
55-59,4396.0,Incidence,6680872,All Races,65.8,Female,"Corpus and Uterus, NOS",1999
55-59,170.0,Mortality,6765034,All Races,2.5,Female,Esophagus,1999
55-59,233.0,Incidence,6680872,All Races,3.5,Female,Esophagus,1999
55-59,3646.0,Mortality,6765034,All Races,53.9,Female,Female Breast,1999
55-59,21604.0,Incidence,6680872,All Races,323.4,Female,Female Breast,1999
55-59,4910.0,Incidence,6680872,All Races,73.5,Female,"Female Breast, <i>in situ</i>",1999
55-59,33.0,Mortality,6765034,All Races,0.5,Female,Hodgkin Lymphoma,1999
55-59,146.0,Incidence,6680872,All Races,2.2,Female,Hodgkin Lymphoma,1999
55-59,288.0,Mortality,6765034,All Races,4.3,Female,Kidney and Renal Pelvis,1999
55-59,1086.0,Incidence,6680872,All Races,16.3,Female,Kidney and Renal Pelvis,1999
55-59,71.0,Mortality,6765034,All Races,1.0,Female,Larynx,1999
55-59,325.0,Incidence,6680872,All Races,4.9,Female,Larynx,1999
