YEAR,RACE,SEX,SITE,EVENT_TYPE,AGE_ADJUSTED_RATE,COUNT,POPULATION,CRUDE_RATE
2000,All Races,Female,Acute Myeloid,Incidence,3.2,4841.0,141865770,3.4
2000,All Races,Female,Acute Myeloid,Mortality,2.2,3405.0,143719004,2.4
2001,All Races,Female,Acute Myeloid,Incidence,3.2,4964.0,143603977,3.5
2001,All Races,Female,Acute Myeloid,Mortality,2.2,3551.0,145077463,2.4
2002,All Races,Female,Acute Myeloid,Incidence,3.0,4707.0,144919222,3.2
2002,All Races,Female,Acute Myeloid,Mortality,2.2,3499.0,146394634,2.4
2003,All Races,Female,Acute Myeloid,Incidence,3.1,5050.0,147679036,3.4
2003,All Races,Female,Acute Myeloid,Mortality,2.2,3617.0,147679036,2.4
2004,All Races,Female,Acute Myeloid,Incidence,3.1,4986.0,148977286,3.3
2004,All Races,Female,Acute Myeloid,Mortality,2.2,3701.0,148977286,2.5
2005,All Races,Female,Acute Myeloid,Incidence,3.0,4977.0,150319521,3.3
2005,All Races,Female,Acute Myeloid,Mortality,2.2,3625.0,150319521,2.4
2006,All Races,Female,Acute Myeloid,Incidence,3.1,5142.0,151732647,3.4
2006,All Races,Female,Acute Myeloid,Mortality,2.2,3814.0,151732647,2.5
2007,All Races,Female,Acute Myeloid,Incidence,3.1,5250.0,153166353,3.4
2007,All Races,Female,Acute Myeloid,Mortality,2.2,3727.0,153166353,2.4
2008,All Races,Female,Acute Myeloid,Incidence,3.1,5376.0,154604015,3.5
2008,All Races,Female,Acute Myeloid,Mortality,2.2,3965.0,154604015,2.6
2009,All Races,Female,Acute Myeloid,Incidence,3.1,5419.0,155964075,3.5
2009,All Races,Female,Acute Myeloid,Mortality,2.2,3972.0,155964075,2.5
2010,All Races,Female,Acute Myeloid,Incidence,3.5,6194.0,157249665,3.9
2010,All Races,Female,Acute Myeloid,Mortality,2.2,3959.0,157249665,2.5
2011,All Races,Female,Acute Myeloid,Incidence,3.6,6453.0,158370501,4.1
2011,All Races,Female,Acute Myeloid,Mortality,2.2,4148.0,158370501,2.6
2012,All Races,Female,Acute Myeloid,Incidence,3.5,6450.0,159480635,4.0
2012,All Races,Female,Acute Myeloid,Mortality,2.2,4083.0,159480635,2.6
2013,All Races,Female,Acute Myeloid,Incidence,3.6,6641.0,160545893,4.1
2013,All Races,Female,Acute Myeloid,Mortality,2.2,4121.0,160545893,2.6
2014,All Races,Female,Acute Myeloid,Incidence,3.6,6902.0,161690519,4.3
2014,All Races,Female,Acute Myeloid,Mortality,2.2,4379.0,161690519,2.7
2015,All Races,Female,Acute Myeloid,Incidence,3.5,6729.0,162832151,4.1
2015,All Races,Female,Acute Myeloid,Mortality,2.1,4182.0,162832151,2.6
2016,All Races,Female,Acute Myeloid,Incidence,3.5,6903.0,163986062,4.2
2016,All Races,Female,Acute Myeloid,Mortality,2.2,4537.0,163986062,2.8
2017,All Races,Female,Acute Myeloid,Incidence,3.5,7031.0,165008683,4.3
2017,All Races,Female,Acute Myeloid,Mortality,2.2,4512.0,165008683,2.7
2018,All Races,Female,Acute Myeloid,Incidence,3.5,7151.0,165877686,4.3
2018,All Races,Female,Acute Myeloid,Mortality,2.1,4517.0,165877686,2.7
2019,All Races,Female,Acute Myeloid,Incidence,3.5,7333.0,166637617,4.4
2019,All Races,Female,Acute Myeloid,Mortality,2.0,4477.0,166637617,2.7
2020,All Races,Female,Acute Myeloid,Incidence,3.4,6928.0,162239308,4.3
2020,All Races,Female,Acute Myeloid,Mortality,2.1,4673.0,167227921,2.8
2000,All Races,Female,All Cancer Sites Combined,Incidence,421.3,642011.0,141865770,452.5
2000,All Races,Female,All Cancer Sites Combined,Mortality,166.7,267008.0,143719004,185.8
2001,All Races,Female,All Cancer Sites Combined,Incidence,427.5,662127.0,143603977,461.1
2001,All Races,Female,All Cancer Sites Combined,Mortality,164.6,266692.0,145077463,183.8
2002,All Races,Female,All Cancer Sites Combined,Incidence,424.7,667688.0,144919222,460.7
2002,All Races,Female,All Cancer Sites Combined,Mortality,163.4,268501.0,146394634,183.4
2003,All Races,Female,All Cancer Sites Combined,Incidence,419.4,676052.0,147679036,457.8
2003,All Races,Female,All Cancer Sites Combined,Mortality,161.2,268908.0,147679036,182.1
2004,All Races,Female,All Cancer Sites Combined,Incidence,420.2,687080.0,148977286,461.2
2004,All Races,Female,All Cancer Sites Combined,Mortality,157.9,267056.0,148977286,179.3
2005,All Races,Female,All Cancer Sites Combined,Incidence,423.0,702608.0,150319521,467.4
2005,All Races,Female,All Cancer Sites Combined,Mortality,156.5,268886.0,150319521,178.9
2006,All Races,Female,All Cancer Sites Combined,Incidence,423.8,714455.0,151732647,470.9
2006,All Races,Female,All Cancer Sites Combined,Mortality,154.6,269816.0,151732647,177.8
2007,All Races,Female,All Cancer Sites Combined,Incidence,426.4,730927.0,153166353,477.2
2007,All Races,Female,All Cancer Sites Combined,Mortality,152.0,270014.0,153166353,176.3
2008,All Races,Female,All Cancer Sites Combined,Incidence,429.2,748799.0,154604015,484.3
2008,All Races,Female,All Cancer Sites Combined,Mortality,149.3,270207.0,154604015,174.8
2009,All Races,Female,All Cancer Sites Combined,Incidence,430.6,763217.0,155964075,489.4
2009,All Races,Female,All Cancer Sites Combined,Mortality,147.1,270856.0,155964075,173.7
2010,All Races,Female,All Cancer Sites Combined,Incidence,422.8,762732.0,157249665,485.0
2010,All Races,Female,All Cancer Sites Combined,Mortality,145.7,273706.0,157249665,174.1
2011,All Races,Female,All Cancer Sites Combined,Incidence,425.4,779860.0,158370501,492.4
2011,All Races,Female,All Cancer Sites Combined,Mortality,143.6,274457.0,158370501,173.3
2012,All Races,Female,All Cancer Sites Combined,Incidence,424.5,792100.0,159480635,496.7
2012,All Races,Female,All Cancer Sites Combined,Mortality,141.9,276946.0,159480635,173.7
2013,All Races,Female,All Cancer Sites Combined,Incidence,426.7,809810.0,160545893,504.4
2013,All Races,Female,All Cancer Sites Combined,Mortality,139.4,277319.0,160545893,172.7
2014,All Races,Female,All Cancer Sites Combined,Incidence,427.7,826041.0,161690519,510.9
2014,All Races,Female,All Cancer Sites Combined,Mortality,138.1,280401.0,161690519,173.4
2015,All Races,Female,All Cancer Sites Combined,Incidence,430.6,845471.0,162832151,519.2
2015,All Races,Female,All Cancer Sites Combined,Mortality,136.1,282107.0,162832151,173.3
2016,All Races,Female,All Cancer Sites Combined,Incidence,428.0,855158.0,163986062,521.5
2016,All Races,Female,All Cancer Sites Combined,Mortality,134.1,283463.0,163986062,172.9
2017,All Races,Female,All Cancer Sites Combined,Incidence,424.6,863869.0,165008683,523.5
2017,All Races,Female,All Cancer Sites Combined,Mortality,131.4,283959.0,165008683,172.1
2018,All Races,Female,All Cancer Sites Combined,Incidence,423.4,875018.0,165877686,527.5
2018,All Races,Female,All Cancer Sites Combined,Mortality,128.6,283718.0,165877686,171.0
2019,All Races,Female,All Cancer Sites Combined,Incidence,424.5,891560.0,166637617,535.0
2019,All Races,Female,All Cancer Sites Combined,Mortality,125.9,283722.0,166637617,170.3
2020,All Races,Female,All Cancer Sites Combined,Incidence,382.2,789299.0,162239308,486.5
2020,All Races,Female,All Cancer Sites Combined,Mortality,124.1,284617.0,167227921,170.2
2000,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,421.3,642011.0,141865770,452.5
2001,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,422.3,653835.0,143603977,455.3
2002,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,419.3,658892.0,144919222,454.7
2003,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,413.7,666533.0,147679036,451.3
2004,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,414.2,676814.0,148977286,454.3
2005,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,416.6,691589.0,150319521,460.1
2006,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,417.2,703045.0,151732647,463.3
2007,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,419.3,718558.0,153166353,469.1
2008,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,422.2,736147.0,154604015,476.1
2009,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,423.5,750361.0,155964075,481.1
2010,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,415.0,748405.0,157249665,475.9
2011,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,417.3,764568.0,158370501,482.8
2012,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,416.7,777354.0,159480635,487.4
2013,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,418.4,793762.0,160545893,494.4
2014,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,419.8,810439.0,161690519,501.2
2015,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,422.5,829397.0,162832151,509.4
2016,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,420.0,838801.0,163986062,511.5
2017,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,416.9,847758.0,165008683,513.8
2018,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,415.4,858079.0,165877686,517.3
2019,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,416.9,875416.0,166637617,525.3
2020,All Races,Female,All Sites (comparable to ICD-O-2),Incidence,375.4,774855.0,162239308,477.6
2000,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,1.5,2309.0,141865770,1.6
2000,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.2,298.0,143719004,0.2
2001,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,1.5,2382.0,143603977,1.7
2001,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.2,326.0,145077463,0.2
2002,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,1.6,2482.0,144919222,1.7
2002,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.2,326.0,146394634,0.2
2003,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,1.7,2722.0,147679036,1.8
2003,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.2,369.0,147679036,0.2
2004,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,1.8,2895.0,148977286,1.9
2004,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.2,349.0,148977286,0.2
2005,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,1.8,2961.0,150319521,2.0
2005,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.2,369.0,150319521,0.2
2006,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,1.8,3065.0,151732647,2.0
2006,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.2,387.0,151732647,0.3
2007,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,1.9,3360.0,153166353,2.2
2007,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.2,389.0,153166353,0.3
2008,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.0,3495.0,154604015,2.3
2008,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.2,444.0,154604015,0.3
2009,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.1,3814.0,155964075,2.4
2009,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.3,516.0,155964075,0.3
2010,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.1,3781.0,157249665,2.4
2010,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.3,478.0,157249665,0.3
2011,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.1,3994.0,158370501,2.5
2011,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.3,518.0,158370501,0.3
2012,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.2,4178.0,159480635,2.6
2012,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.3,521.0,159480635,0.3
2013,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.2,4287.0,160545893,2.7
2013,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.3,529.0,160545893,0.3
2014,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.3,4629.0,161690519,2.9
2014,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.3,570.0,161690519,0.4
2015,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.3,4684.0,162832151,2.9
2015,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.3,597.0,162832151,0.4
2016,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.4,5056.0,163986062,3.1
2016,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.3,703.0,163986062,0.4
2017,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.4,4993.0,165008683,3.0
2017,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.3,732.0,165008683,0.4
2018,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.4,5271.0,165877686,3.2
2018,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.3,737.0,165877686,0.4
2019,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.5,5483.0,166637617,3.3
2019,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.4,806.0,166637617,0.5
2020,All Races,Female,"Anus, Anal Canal and Anorectum",Incidence,2.4,5152.0,162239308,3.2
2020,All Races,Female,"Anus, Anal Canal and Anorectum",Mortality,0.4,887.0,167227921,0.5
2000,All Races,Female,Bones and Joints,Incidence,0.8,1189.0,141865770,0.8
2000,All Races,Female,Bones and Joints,Mortality,0.3,530.0,143719004,0.4
2001,All Races,Female,Bones and Joints,Incidence,0.9,1274.0,143603977,0.9
2001,All Races,Female,Bones and Joints,Mortality,0.4,581.0,145077463,0.4
2002,All Races,Female,Bones and Joints,Incidence,0.8,1240.0,144919222,0.9
2002,All Races,Female,Bones and Joints,Mortality,0.3,530.0,146394634,0.4
2003,All Races,Female,Bones and Joints,Incidence,0.8,1251.0,147679036,0.8
2003,All Races,Female,Bones and Joints,Mortality,0.3,539.0,147679036,0.4
2004,All Races,Female,Bones and Joints,Incidence,0.9,1331.0,148977286,0.9
2004,All Races,Female,Bones and Joints,Mortality,0.4,586.0,148977286,0.4
2005,All Races,Female,Bones and Joints,Incidence,0.9,1336.0,150319521,0.9
2005,All Races,Female,Bones and Joints,Mortality,0.4,607.0,150319521,0.4
2006,All Races,Female,Bones and Joints,Incidence,0.8,1280.0,151732647,0.8
2006,All Races,Female,Bones and Joints,Mortality,0.4,601.0,151732647,0.4
2007,All Races,Female,Bones and Joints,Incidence,0.8,1326.0,153166353,0.9
2007,All Races,Female,Bones and Joints,Mortality,0.3,580.0,153166353,0.4
2008,All Races,Female,Bones and Joints,Incidence,0.8,1343.0,154604015,0.9
2008,All Races,Female,Bones and Joints,Mortality,0.4,603.0,154604015,0.4
2009,All Races,Female,Bones and Joints,Incidence,0.9,1372.0,155964075,0.9
2009,All Races,Female,Bones and Joints,Mortality,0.4,604.0,155964075,0.4
2010,All Races,Female,Bones and Joints,Incidence,0.8,1339.0,157249665,0.9
2010,All Races,Female,Bones and Joints,Mortality,0.3,575.0,157249665,0.4
2011,All Races,Female,Bones and Joints,Incidence,0.9,1391.0,158370501,0.9
2011,All Races,Female,Bones and Joints,Mortality,0.3,609.0,158370501,0.4
2012,All Races,Female,Bones and Joints,Incidence,0.8,1359.0,159480635,0.9
2012,All Races,Female,Bones and Joints,Mortality,0.3,581.0,159480635,0.4
2013,All Races,Female,Bones and Joints,Incidence,0.9,1420.0,160545893,0.9
2013,All Races,Female,Bones and Joints,Mortality,0.3,621.0,160545893,0.4
2014,All Races,Female,Bones and Joints,Incidence,0.8,1425.0,161690519,0.9
2014,All Races,Female,Bones and Joints,Mortality,0.4,683.0,161690519,0.4
2015,All Races,Female,Bones and Joints,Incidence,0.8,1382.0,162832151,0.8
2015,All Races,Female,Bones and Joints,Mortality,0.3,644.0,162832151,0.4
2016,All Races,Female,Bones and Joints,Incidence,0.8,1443.0,163986062,0.9
2016,All Races,Female,Bones and Joints,Mortality,0.4,712.0,163986062,0.4
2017,All Races,Female,Bones and Joints,Incidence,0.9,1524.0,165008683,0.9
2017,All Races,Female,Bones and Joints,Mortality,0.4,716.0,165008683,0.4
2018,All Races,Female,Bones and Joints,Incidence,0.9,1573.0,165877686,0.9
2018,All Races,Female,Bones and Joints,Mortality,0.4,777.0,165877686,0.5
2019,All Races,Female,Bones and Joints,Incidence,0.9,1553.0,166637617,0.9
2019,All Races,Female,Bones and Joints,Mortality,0.4,820.0,166637617,0.5
2020,All Races,Female,Bones and Joints,Incidence,0.8,1378.0,162239308,0.8
2020,All Races,Female,Bones and Joints,Mortality,0.4,809.0,167227921,0.5
2000,All Races,Female,Brain,Incidence,5.4,7949.0,141865770,5.6
2001,All Races,Female,Brain,Incidence,5.2,7823.0,143603977,5.4
2002,All Races,Female,Brain,Incidence,5.3,8001.0,144919222,5.5
2003,All Races,Female,Brain,Incidence,5.3,8231.0,147679036,5.6
2004,All Races,Female,Brain,Incidence,5.4,8541.0,148977286,5.7
2005,All Races,Female,Brain,Incidence,5.4,8570.0,150319521,5.7
2006,All Races,Female,Brain,Incidence,5.4,8720.0,151732647,5.7
2007,All Races,Female,Brain,Incidence,5.4,8900.0,153166353,5.8
2008,All Races,Female,Brain,Incidence,5.4,8940.0,154604015,5.8
2009,All Races,Female,Brain,Incidence,5.4,9119.0,155964075,5.8
2010,All Races,Female,Brain,Incidence,5.2,9012.0,157249665,5.7
2011,All Races,Female,Brain,Incidence,5.2,9019.0,158370501,5.7
2012,All Races,Female,Brain,Incidence,5.2,9219.0,159480635,5.8
2013,All Races,Female,Brain,Incidence,5.2,9397.0,160545893,5.9
2014,All Races,Female,Brain,Incidence,5.1,9283.0,161690519,5.7
2015,All Races,Female,Brain,Incidence,5.2,9654.0,162832151,5.9
2016,All Races,Female,Brain,Incidence,5.1,9510.0,163986062,5.8
2017,All Races,Female,Brain,Incidence,5.1,9607.0,165008683,5.8
2018,All Races,Female,Brain,Incidence,5.0,9664.0,165877686,5.8
2019,All Races,Female,Brain,Incidence,4.9,9515.0,166637617,5.7
2020,All Races,Female,Brain,Incidence,4.8,9224.0,162239308,5.7
2000,All Races,Female,Brain and Other Nervous System,Incidence,5.8,8627.0,141865770,6.1
2000,All Races,Female,Brain and Other Nervous System,Mortality,3.7,5644.0,143719004,3.9
2001,All Races,Female,Brain and Other Nervous System,Incidence,5.7,8534.0,143603977,5.9
2001,All Races,Female,Brain and Other Nervous System,Mortality,3.6,5594.0,145077463,3.9
2002,All Races,Female,Brain and Other Nervous System,Incidence,5.8,8722.0,144919222,6.0
2002,All Races,Female,Brain and Other Nervous System,Mortality,3.6,5705.0,146394634,3.9
2003,All Races,Female,Brain and Other Nervous System,Incidence,5.8,9065.0,147679036,6.1
2003,All Races,Female,Brain and Other Nervous System,Mortality,3.6,5779.0,147679036,3.9
2004,All Races,Female,Brain and Other Nervous System,Incidence,5.9,9349.0,148977286,6.3
2004,All Races,Female,Brain and Other Nervous System,Mortality,3.5,5755.0,148977286,3.9
2005,All Races,Female,Brain and Other Nervous System,Incidence,5.9,9399.0,150319521,6.3
2005,All Races,Female,Brain and Other Nervous System,Mortality,3.5,5835.0,150319521,3.9
2006,All Races,Female,Brain and Other Nervous System,Incidence,5.8,9447.0,151732647,6.2
2006,All Races,Female,Brain and Other Nervous System,Mortality,3.4,5688.0,151732647,3.7
2007,All Races,Female,Brain and Other Nervous System,Incidence,5.9,9670.0,153166353,6.3
2007,All Races,Female,Brain and Other Nervous System,Mortality,3.5,5919.0,153166353,3.9
2008,All Races,Female,Brain and Other Nervous System,Incidence,5.9,9728.0,154604015,6.3
2008,All Races,Female,Brain and Other Nervous System,Mortality,3.5,6038.0,154604015,3.9
2009,All Races,Female,Brain and Other Nervous System,Incidence,5.9,9911.0,155964075,6.4
2009,All Races,Female,Brain and Other Nervous System,Mortality,3.6,6318.0,155964075,4.1
2010,All Races,Female,Brain and Other Nervous System,Incidence,5.7,9795.0,157249665,6.2
2010,All Races,Female,Brain and Other Nervous System,Mortality,3.4,6187.0,157249665,3.9
2011,All Races,Female,Brain and Other Nervous System,Incidence,5.6,9757.0,158370501,6.2
2011,All Races,Female,Brain and Other Nervous System,Mortality,3.4,6363.0,158370501,4.0
2012,All Races,Female,Brain and Other Nervous System,Incidence,5.7,9940.0,159480635,6.2
2012,All Races,Female,Brain and Other Nervous System,Mortality,3.5,6610.0,159480635,4.1
2013,All Races,Female,Brain and Other Nervous System,Incidence,5.7,10194.0,160545893,6.3
2013,All Races,Female,Brain and Other Nervous System,Mortality,3.6,6852.0,160545893,4.3
2014,All Races,Female,Brain and Other Nervous System,Incidence,5.6,10028.0,161690519,6.2
2014,All Races,Female,Brain and Other Nervous System,Mortality,3.6,6978.0,161690519,4.3
2015,All Races,Female,Brain and Other Nervous System,Incidence,5.7,10381.0,162832151,6.4
2015,All Races,Female,Brain and Other Nervous System,Mortality,3.6,7149.0,162832151,4.4
2016,All Races,Female,Brain and Other Nervous System,Incidence,5.5,10223.0,163986062,6.2
2016,All Races,Female,Brain and Other Nervous System,Mortality,3.6,7324.0,163986062,4.5
2017,All Races,Female,Brain and Other Nervous System,Incidence,5.5,10362.0,165008683,6.3
2017,All Races,Female,Brain and Other Nervous System,Mortality,3.6,7415.0,165008683,4.5
2018,All Races,Female,Brain and Other Nervous System,Incidence,5.4,10262.0,165877686,6.2
2018,All Races,Female,Brain and Other Nervous System,Mortality,3.5,7395.0,165877686,4.5
2019,All Races,Female,Brain and Other Nervous System,Incidence,5.2,10105.0,166637617,6.1
2019,All Races,Female,Brain and Other Nervous System,Mortality,3.5,7430.0,166637617,4.5
2020,All Races,Female,Brain and Other Nervous System,Incidence,5.1,9733.0,162239308,6.0
2020,All Races,Female,Brain and Other Nervous System,Mortality,3.6,7820.0,167227921,4.7
2000,All Races,Female,Cervix,Incidence,9.6,13892.0,141865770,9.8
2000,All Races,Female,Cervix,Mortality,2.8,4200.0,143719004,2.9
2001,All Races,Female,Cervix,Incidence,9.0,13264.0,143603977,9.2
2001,All Races,Female,Cervix,Mortality,2.7,4092.0,145077463,2.8
2002,All Races,Female,Cervix,Incidence,8.7,12915.0,144919222,8.9
2002,All Races,Female,Cervix,Mortality,2.6,3952.0,146394634,2.7
2003,All Races,Female,Cervix,Incidence,8.4,12702.0,147679036,8.6
2003,All Races,Female,Cervix,Mortality,2.5,3919.0,147679036,2.7
2004,All Races,Female,Cervix,Incidence,8.2,12497.0,148977286,8.4
2004,All Races,Female,Cervix,Mortality,2.4,3850.0,148977286,2.6
2005,All Races,Female,Cervix,Incidence,8.3,12797.0,150319521,8.5
2005,All Races,Female,Cervix,Mortality,2.4,3924.0,150319521,2.6
2006,All Races,Female,Cervix,Incidence,8.2,12703.0,151732647,8.4
2006,All Races,Female,Cervix,Mortality,2.4,3976.0,151732647,2.6
2007,All Races,Female,Cervix,Incidence,8.1,12715.0,153166353,8.3
2007,All Races,Female,Cervix,Mortality,2.4,4021.0,153166353,2.6
2008,All Races,Female,Cervix,Incidence,8.0,12756.0,154604015,8.3
2008,All Races,Female,Cervix,Mortality,2.4,4008.0,154604015,2.6
2009,All Races,Female,Cervix,Incidence,8.1,12914.0,155964075,8.3
2009,All Races,Female,Cervix,Mortality,2.3,3909.0,155964075,2.5
2010,All Races,Female,Cervix,Incidence,7.7,12540.0,157249665,8.0
2010,All Races,Female,Cervix,Mortality,2.3,3939.0,157249665,2.5
2011,All Races,Female,Cervix,Incidence,7.6,12480.0,158370501,7.9
2011,All Races,Female,Cervix,Mortality,2.3,4092.0,158370501,2.6
2012,All Races,Female,Cervix,Incidence,7.6,12449.0,159480635,7.8
2012,All Races,Female,Cervix,Mortality,2.3,4074.0,159480635,2.6
2013,All Races,Female,Cervix,Incidence,7.4,12321.0,160545893,7.7
2013,All Races,Female,Cervix,Mortality,2.3,4217.0,160545893,2.6
2014,All Races,Female,Cervix,Incidence,7.7,12864.0,161690519,8.0
2014,All Races,Female,Cervix,Mortality,2.3,4115.0,161690519,2.5
